类别	新闻标题	新闻内容
科技	即刻搜索商业系统上线　将惠及中小企业	据新华社电　由人民搜索网络股份公司主办的“即刻与您共成长”——即刻搜索商业系统上线暨合作签约仪式２０日在京举行。这是即刻搜索首次推出涉及广告业务的商业系统，是人民搜索为扶持中小企业发展做出的重要部署。＞萁樯埽该活动旨在响应国家号召、扶持中小企业发展，让广大中小企业获益。同时，开展该活动也是人民搜索正式迈入商业运营阶段的重要标志。即刻搜索商业系统将优先为广大中小企业服务，计划在未来三年内邀请１０００家中小型企业免费试用。＜纯趟阉魇怯扇嗣袼阉魍络股份公司於２０１１年６月２０日推出的通用搜索引擎平台，致力於打造大众搜索求知的工具、工作生活的助手和文化交流的平台。
科技	方舟子受聘网站首席科学顾问	互动百科官方微博近日的一条更新引起了不小的震动：“知名科普作家、学者、反伪打假人士方舟子现正式入驻互动百科担任首席科学顾问。方舟子、互动百科，在互联网上极具曝光度的２个词联系在了一起，自然引起了网友的广泛关注。Ｍ友“哈勃ｄｄｇ”指出：如果要寻真，首先要对“假”本身的存在性要有一定的认识。也有网友对方舟子本人有看法，但对他所做的事表示认同，“ＳｔｅｖｅｎＸｕ地盘”评论：“社会是多元的，方舟子也没有大家说的那么不堪。所以我决定从今天起，在继续对方舟子保持严重鄙视的同时，对支持方舟子的行为和言论保持宽容。”４送猓也有网民对此的看法更具娱乐的态度，他们在评论中模仿方舟子微博的格式，进行了恶搞。
科技	中消协：电器维修业成投诉重灾区	中消协２５日公布的上半年全国消协组织受理投诉统计分析显示，电器维修行业售后服务成为重灾区。其中，投诉售后服务问题的比例高达４２．２％。Ｏ费者反映的主要问题包括：部分电器维修经营者服务不规范、维修资质低、职业操守差，将原本可以简单修复的零件，动辄让消费者重新购买，有的甚至采取小病大修的方式，明显加重消费者的负担。特别是个别国外品牌厂商授权的维修点，动辄以厂商单方制定的售后服务文本为挡箭牌，其中不少严重损害消费者的合法权益条款，引起消费者的强烈不满。如消费者王先生购买苹果牌ＩＰｈｏｎｅ４手机，在三包期内出现性能故障，苹果售后服务中心为消费者更换了除外壳和充电器以外的全部移动电话机配件，并填写一次维修记录。售后服务中心以苹果公司为消费者采用更换主机方式进行维修为由，拒绝重新计算手机的“三包期”。
科技	诺基亚裁员１万　出售Ｖｅｒｔｕ	事件：６月１４日，诺基亚宣布将在２０１３年年底全球最多裁员１万人，削减１６亿欧元支出，该裁员计划涉及中国区﹔并宣布调整管理层，领导团队洗牌。受此影响，诺基亚上周四在美股大跌１５．７７％，报收於２．３５美元，创下５２周新低。同时，诺基亚ＣＥＯ埃洛普承认ＷＰ手机销售不佳。但他认为，原因在於零售商而不在於微软软件。另外，诺基亚还宣布旗下奢侈手机品牌Ｖｅｒｔｕ将出售给欧洲私募股权基金ＥＱＴ　ＶＩ。５闫溃耗苈舻模请都卖掉，诺基亚需要轻装上阵。诺基亚的历史上，不乏主业转型的案例。如今的诺基亚，只有几条路可走：死亡、苟活、小众、再搏。你说，曾经的“天下第一”会选择哪一条路？再从臃肿的破船改造为轻舟之后，若２０１２年下半年市场销量和业绩没有起色，诺基亚最终就只能卖掉自己。
科技	《纽约时报》：苹果销售员贡献与收入相差甚远	去年销售最好的三个月里，新罕布什尔州苹果商店的销售员乔丹·格尔森卖出了约７５万美元的电脑及其他苹果产品，但对比自己的薪水单，他觉得有点儿“不成比例”。虽然在零售行业，苹果公司的薪水远高於平均水平，但比起其火爆销售，总让人觉得有点儿不舒服。在４．３万苹果美国员工当中，约有３万人是销售人员，他们年收入约２．５万美元。而去年平均每位苹果员工为公司赚到４７．３万美元。
科技	谷歌电子钱包未热　苹果携Ｐａｓｓｂｏｏｋ进军移动支付	［　财付通市场中心相关负责人还认为，“因为本身近端支付所要求的技术具有多样性的特点，需要支付企业、发卡单位、芯片、终端、系统、安全等多个领域的产品供应商高度整合。”　］Ｔ诟战崾的全球开发者大会（ＷＷＤＣ）上，苹果宣布了ｉＯＳ　６系统将提供操作一个全新的应用——Ｐａｓｓｂｏｏｋ，这是一款可以存放登机牌、会员卡和电影票的工具。使用Ｐａｓｓｂｏｏｋ，ｉＰｈｏｎｅ和ｉＰｏｄ　Ｔｏｕｃｈ用户可以在屏幕上调出条形码，在登机、看电影或兑换优惠券时进行核对。Ｕ庀罘务的推出被业内解读为苹果正式介入电子支付领域。“这是一个规划的整理，不是一套支付方案，但有理由把它当作苹果进军支付领域的铺垫。”科技评论人王自如对记者表示，苹果控制软硬件，完全有深度支持ＮＦＣ的前提。６源耍财付通市场中心相关负责人则对记者表示，实际上，将Ｐａｓｓｂｏｏｋ转变成支付网络并不容易。“因为本身近端支付所要求的技术具有多样性的特点，需要支付企业、发卡单位、芯片、终端、系统、安全等多个领域的产品供应商高度整合”。Ｆ还瞄上移动支付Ｒ贫支付领域的庞大市场吸引著各种公司。＞荩牵幔颍簦睿澹虻脑ぜ疲２０１２年全球移动支付总额将超过１７１５亿美元，移动支付的用户将超过２亿，从２０１１年到２０１６年移动支付的平均年增长率为４３％。“到２０１６年，移动支付将形成一个价值高达６１７０亿美元的巨大市场，而那时的用户规模也将增至近４．５亿。”：推渌公司一样，苹果也看到了这块蛋糕。将实体的票据数字化并进行统一的管理，基於ＬＢＳ的Ｐａｓｓｂｏｏｋ或许正是沟通苹果地图服务和Ｓｉｒｉ之间不可或缺的桥梁，并且从网络走到线下，将网络服务和现实商家紧密地联系起来来为用户提供便利。６它的最大竞争对手依然是老朋友谷歌。从推出自有地图服务和Ｇｏｏｇｌｅ　Ｍａｐｓ对抗，到和Ｆａｃｅｂｏｏｋ的深度整合以打击Ｇｏｏｇｌｅ＋，ｉＯＳ搜索服务中减轻对Ｇｏｏｇｌｅ的依赖，这次又推出了Ｐａｓｓｂｏｏｋ，这一系列动作看起来无一不是在摆脱竞争对手谷歌。Ｒ的谌耸恐赋觯对苹果来说，在一个封闭的平台上推广移动支付，远比Ｇｏｏｇｌｅ在零散的阵营内扩展Ｇｏｏｇｌｅ　Ｗａｌｌｅｔ要来得容易。而且，苹果的一贯强势也足以保证它在和运营商、银行合作时拥有足够的话语权。另外，苹果还拥有大约２．１８亿部ｉＰｈｏｎｅ，将近６０００万台ｉＰａｄ的资源。Ｍ踝匀缍员颈ū硎荆苹果的优势在於拥有４亿信用卡绑定账户，相比於安卓系统更加安全，具有第三方资源和线下号召力，而谷歌的优势则在於启动早、制造商多，从普及效果来看，谷歌的优势较为明显。Ｊ迪帧扒景”难度大４饲埃Ｇｏｏｇｌｅ　Ｗａｌｌｅｔ当初发布时被公司寄予厚望，但目前支持Ｇｏｏｇｌｅ　Ｗａｌｌｅｔ技术的Ａｎｄｒｏｉｄ手机设备仅有５款，无论运营商或信用卡机构对Ｇｏｏｇｌｅ　Ｗａｌｌｅｔ的支持程度都不高。“主要是因为安卓的支付做得一般，虽然近期刚刚开放了ｉｎａｐｐ　ｐｕｒｃｈａｓｅ，但只是开了一个门缝。”王自如说。６对於国内开发者来说，Ｐａｓｓｂｏｏｋ似乎并不是一个新鲜的应用，在它出现之前，Ｏｎｌｉｎｅ　Ｌｏｙａｌｔｙ　ｃａｒｄ早已出现，比如跨平台的Ｋｅｙ　ｒｉｎｇ，通过将实体店的卡条码存储在手机的应用中，商家通过扫描为用户积分。“这种商业模式除了可以向商家收取服务费用外，还可以成为支付宝的另外一种形态。”ｉｆａｎｒ专栏作者宁剑指出，但对於大多数小公司来说，却很难把这种模式进行到底。！拔蘼鄞幽姆矫婵矗这都应该是一个不小的生意，尤其是对於小商户，例如咖啡店来说，是个双赢的方案。但很遗憾，我关注这个领域已经有两年了，自己也做过一个类似的平台，但直到现在，我都没有看到几个哪怕相对成功的初创企业，大多昙花一现后默默衰亡。”５他认为，这些问题对於苹果来说都不是问题。“它有足够的装机量，直接内置的应用，直接面对了千万级别的用户，不存在吸引用户的问题。而对於合作零售商来说，在运营成本上的节约已经足够让他们加入分享数据的阵容，毕竟加入　Ｐａｓｓｂｏｏｋ　对於系统的改造微乎其微。”２聘锻ㄊ谐≈行南喙馗涸鹑嘶谷衔，“移动支付标准的不统一，阻碍其大面积的推广，消费支付习惯也尚未养成。”虽然腾讯也在对ＬＢＳ应用做持续的关注，希望联合线下的商家提供电子优惠券以及消费者权益等服务，实现精准营销，提升移动支付用户的活跃度，但上述人士表示实现起来确实有难度。５苹果似乎已经开始让一些商家为其做出改变，比如说，塔吉特百货和星巴克咖啡已经升级了ＰＯＳ机硬件，以便能读取手机屏幕上的条形码。
科技	苹果首次参加黑帽安全大会　讨论ｉＯＳ安全技术	７月２７日消息，据国外媒体报道，黑帽安全大会（Ｂｌａｃｋ　Ｈａｔ　Ｓｅｃｕｒｉｔｙ　Ｃｏｎｆｅｒｅｎｃｅ）与会者对苹果参加此次大会抱有很大的期待。Ｆ还平台安全团队经理达拉斯·德埃雷（Ｄａｌｌａｓ　Ｄｅ　Ａｔｌｅｙ）周四将打破常规，首次在黑帽安全大会上讨论ｉＯＳ的安全技术。该操作系统被应用于ｉＰｈｏｎｅ和ｉＰａｄ。Ｆ还惟一的一次计划参与还是２００８年于内华达州的沙漠城市举行的黑帽大会，不过最终苹果的营销部门还是将参会行动取消。：诿弊芫理特雷·福特（Ｔｒｅｙ　Ｆｏｒｄ）于周三的一份电邮声明中表示，“苹果的底线是，没得到其营销部门的许可，任何人不得对外透露相关信息。苹果将参加２０１２年的黑帽大会，其营销部门也将参加。”Ｔ缭谒脑路莸氖焙颍恶意软件Ｆｌａｓｈｂａｃｋ　Ｂｏｔｎｅ曾感染了６０万台Ｍａｃ，因此苹果此次参与黑帽安全大会可能是受此因素的影响。安全软件公司Ｓｙｍａｎｔｅｃ表示，Ｆｌａｓｈｂａｃｋ是第一起于Ｍａｃ暴发的恶意软件，打破了苹果拥有防黑客攻击产品的神话。＞莅踩公司Ｓｏｐｈｏｓ表示，除了Ｆｌａｓｈｂａｃｋ之外，研究显示Ｍａｃ还携带有用户未知的恶意软件。安全软件扫描１０台Ｍａｃ，结果发现有３％的Ｍａｃ带有恶意软件。
科技	配双ＵＳＢ３．０！２０１２新款ＭａｃＢｏｏｋ　Ａｉｒ开箱　（３０）	２０１２款ＭａｃＢｏｏｋ　Ａｉｒ的圆形垫脚和螺丝细节。从图片中可以看到底盖和机身贴合的非常紧密。
科技	刨根问底儿：选购超极本需要注意什麽　（４）	超极本的四大标准之一，就是在日常工作状态下，电池的续航时间必须超过　５　小时。但在我们的实际测试中，有一半以上的超极本都没有达到这个标准。那些未达标的超极本，虽然也采用了非常省电的超低电压酷睿处理器，但受到机身内部空间的限制，导致电池容量被迫缩水。（点击这里看超极本的四大标准）。Ｏ衷诰大多数笔记本都已采用较新颖的锂聚合物电池，和传统的圆柱形电池相比，它的优点之一就是可以被制造成任何形状，从而充分塞满笔记本内部除主板以外的剩余空间。和普通笔记本相比，超极本的内部空间明显要小的多，因此电池容量也会从通常的　６０　Ｗｈ　降低至　４０　Ｗｈ　左右，我们评测过的一款超极本甚至只有　３６　Ｗｈ，因此，纵然你英特尔处理器的功耗再低，也会因电池容量小而“弹尽粮绝”。（点击这里可查看市售超极本配置，包括电池容量）Ｐ拢停幔悖猓铮铮搿。校颍铩〉哪诓拷峁梗电池容量占据半壁江山Ｒ虼耍我们在选购超极本时，一定要注意看一下它的电池容量，除了可以通过我们的评测文章进行了解之外，自己也可以去卖场进行检测。检测的方法很简单，只需把相关软件放在　Ｕ　盘里带到卖场，然后接上展示用的本本进行查看即可。有很多软件都可以看电池信息，我们平时用的检测软件是　ＡＩＤＡ６４　。＃停幔悖猓铮铮搿。粒椋颉〉哪诓靠占涓为夸张，电池占据三分之二Ｔ谧罱一次大型超极本横评中，我们也对市售主流超极本的电池续航时间进行了全面的横向对比，测试软件皆为　ＰｏｗｅｒＭａｒｋ，测试过程模拟用户的日常上网、运行办公软件等应用，中间还会穿插一点视频播放和　３Ｄ　游戏，从而让本本多数时间工作在较低负荷、少数时间工作在中高负荷下，尽量贴近用户的实际使用情况。最后，八款超极本中只有三款的电池续航时间超过了　５　个小时，详细的测试结果可以点击这里查看。！ぁ∪文总结：Ｓ纱丝杉，我们在选购超极本时，不要被它的纤薄外表所迷惑，还是应该冷静下来，全方位考量它的实用性，从游戏性能、影音效果、散热能力、电池容量等方面进行综合对比。这和木桶原理是一样的，有些超极本虽然做到了极致轻薄（１７　毫米），但屏幕偏小，接口几乎全都省略掉了，又不能玩大型游戏，电池续航时间还很短。Ｏ啾戎下，超极本如果厚度仅增加　３　毫米（２０　毫米），但具备１４　英寸屏幕、接口齐全、采用中高端独显和大容量电池，还拥有专业品牌音响和创新散热技术，从而给用户带来完整的、舒适的应用体验，那样的产品或许才是真正意义上的超极本。＃眨欤簦颍幔猓铮铮氤极本从诞生至今，已经有超过一年的时间了，在这段时间里，超极本市场可以用“叫好不叫座”来形容，究其原因，笔者认为绝大多数厂商有些“走极端”，一味追求极致轻薄，将许多重要的功能无情阉割，而且同质化现象严重，统统变成　Ｍａｃｂｏｏｋ　Ａｉｒ　的仿品，高昂的售价更是将消费者拒之门外。与其如此，还不如走差异化竞争路线，避其锋芒，将超极本的特点转移到独立显卡、ＨｉＦｉ　音质、超长续航、高性价比等方面，也许会更容易获得消费者的青睐。
科技	天猫突袭京东店庆日	晨报讯　京东将遭遇天猫最血腥突袭——６月１４日天猫宣布，继“双１１”后，在６月１８日再打造一个网购狂欢节，为此天猫准备了４０００万元现金红包，从１５日至１８日连续四天送出，现金红包可在６月１８日当天购买天猫上任何商品。而６月１８日正是京东周年店庆日，天猫此举被业内解读为是有针对性地对京东全面开战。０凑仗烀ü嬖颍此轮消费者获得现金红包将是“零门槛”。６月１５日至１７日，每天１０时至２２时在天猫首页每小时都会放出红包，每天发出６００万个红包。每个用户ＩＤ每天可领取１２个红包。同时１５日至１７日，每逢１１时１１分、１５时１１分、２０时１１分，天猫首页会随机出现天猫ＬＯＧＯ，会员点击ＬＯＧＯ随机获得面值最高４９９９元的红包。１８日当天天猫首页还将送出２１６个价值４９９９元红包。早上１０时至１７时５９分，每隔５分钟送出一个；１８时至２１时５９分，每隔２分钟送出一个。＃保溉盏碧欤天猫电器城活动仍将继续，即使用获得的红包在天猫电器城购买商品，同样享受买满２万返２千优惠。Ｗ裕翟拢啡眨天猫电器城宣布投入２亿元补贴商家，启动贯穿整个夏季的消费者回馈活动“狂暑季”。到６月４日，天猫电器城再次宣布追投１亿元直接补贴消费者。过去半个月，天猫电器城的狂暑季已赢得了消费者青睐：特价苹果ｉＰｈｏｎｅ　４Ｓ狂销６０００多台；佳能６００Ｄ相机１８－５５套装，一天卖出２０００多台。７治鋈耸勘硎荆天猫直接送出４０００万元现金红包堪称杀招，将即将ＩＰＯ的京东商城推入两难境地。此前分析机构给出的京东估值最高６０亿美元、最低３０亿美元，距离京东希望的１００亿美元大大缩水。本寄希望店庆日促销能提振资本市场信心，却遇天猫此时推出如此挑战商业极限的消费者回馈力度。上述人士认为，京东如果跟进，毛利率继续下降，资金链面临巨大压力；如果不跟进，　投入大量广告预热的店庆日被消费者抛弃，资本市场估值再度下滑。
科技	苹果维修合同被指五大不合理	随着ｉＰｈｏｎｅ越来越流行，其维修中存在的诸多问题也越来越受关注。昨日，中消协联合北京、天津、上海、重庆、江苏、山东等六省市消费者协会发表意见，炮轰苹果维修合同中存在五大不合理条款。Ｌ蹩睿何修可用翻新件旧件不给消费者！叮桑校龋希危盼修报告》：维修更换的部件采用全新或翻新的部件。更换的新备件归客户，更换下来的旧备件归苹果所有。５闫酪饧：修理者在相关商品的维修中使用了翻新零配件或部件，违反了三包规定，应予查处。在付费维修中，如果消费者已支付过新部件或新零配件的购置费用，则对于替换下来的部件或零配件，苹果公司并不拥有其所有权，无权要求消费者为此支付额外成本。Ｌ蹩睿何修造成产品损坏仅赔维修款！叮粒校校蹋盼修条款》：如任何产品在ＡＰＰＬＥ保管期间发生损害或丢失，ＡＰＰＬＥ将在法律允许范围内仅对维修成本或受影响产品的替换成本承担责任。同时对您因产品维修任何原因遭受的损失，无论是由于ＡＰＰＬＥ的疏忽还是其他原因，ＡＰＰＬＥ将仅对您所支付的维修服务费用承担责任。５闫酪饧：经营者在维修过程中，负有妥善保管产品、保证维修质量的义务。因保管或者维修不当，造成产品及相关数据毁损、灭失的，应当依法承担赔偿责任。苹果公司的有关规定应属无效条款。Ｌ蹩睿涸耸渌鸹挡荒苊夥盐修！叮桑校龋希危盼修报告》：凡因运输原因或客户自身原因造成的产品损坏不享受苹果免费维修，通知报价三天内请回复是否同意维修，否则视同放弃维修，该报价亦随即自动失效。５闫酪饧：与该条款有关的运输情况分为几种：一是消费者运输给修理者或销售者；二是修理者接收产品后，通过运输方式送厂家维修；三是厂家维修后将产品运送给修理者；四是修理者或者厂家将产品运送给消费者。苹果公司的有关规定未区分具体情况，概括地免除了自身责任，显失公平。Ｌ蹩睿河馄谖慈』视为弃权！叮粒校校蹋盼修条款》：如您在收到产品已维修完毕的通知后６０天内不认领产品且未支付所有的费用，则ＡＰＰＬＥ将认为您已放弃该产品……ＡＰＰＬＥ可按有关法律规定处置该产品。对于您拖欠的费用，ＡＰＰＬＥ保留法定和其他合法留置权。！叮桑校龋希危盼修报告》：送修品自本维修中心通知取机日起逾一个月仍未响应或领回者，自通知取机日起收取每日１０元的保管费，逾９０天，本公司不负任何保管责任。５闫酪饧：苹果公司单方认定消费者逾期即放弃该产品的所有权归自己所有，且仍要求消费者负担修理费，不仅没有任何法律根据，还涉嫌非法侵占他人合法财产。关于６０天的规定并未明确说明与行使留置权的关系，其实质是迫使消费者放弃手机的所有权。此外，苹果公司行使留置权并非对消费者无需承担任何责任。Ｌ蹩睿捍替消费者限定责任范围！叮粒校校蹋盼修条款》：如ＡＰＰＬＥ按照保修协议或延期服务协议维修您的产品，该维修将仅依照保修协议或延期服务协议的条款和有关法律规定进行。如您的产品维修发生在保修范围外，ＡＰＰＬＥ保证……在部件保修期内，如替换部件存在瑕疵，您同意ＡＰＰＬＥ有权选择（１）用新的，使用过的或者修理过的替换部件维修该部件……５闫酪饧：该条款以“消费者同意”为幌子，将自己的意志强加给消费者，侵犯了消费者的知情权、自主选择权。此外，生产者、销售者对于产品承担着明示或暗示的保证责任，如合法性、使用性能、合乎标准、不存在缺陷等，但苹果公司却仅将其责任限定在自行规定的范围内，并对其他保证责任予以排除，免除了其责任，排除了消费者的权利，应视为无效。晨报记者　肖丹
科技	微软Ｗｉｎｄｏｗｓ现高危漏洞　所有用户均受威胁	昨天，微软发布紧急公告，称Ｗｉｎｄｏｗｓ基础组件出现高危漏洞“暴雷”，并推出“暴雷”漏洞临时解决方案。＞菹ぃ“暴雷”是基於Ｗｉｎｄｏｗｓ基础组件的远程攻击漏洞，黑客可以通过该漏洞，以恶意网页、文档等形式将任意木马植入用户电脑，窃取重要资料和账号信息。该漏洞影响多版本Ｏｆｆｉｃｅ，几乎全体Ｗｉｎｄｏｗｓ用户都受威胁。Ｎ⑷肀硎驹谀认情况下，ＩＥ能够在部分版本上运行增强安全配置的模式，微软的主动防御计划（ＭＡＰＰ）也将向合作的安全软件合作伙伴提供漏洞的具体信息，方便安全软件更新。同时，微软还发布７款正式补丁，用於修复Ｗｉｎｄｏｗｓ系统及软件漏洞。奇虎３６０因报告“暴雷”漏洞，在公告中受到微软致谢。　记者苗慧实习记者顾梦琳
科技	电商价格战恐成常态：业内称效果将大打折扣	尽管挑起今年第二轮价格战的京东商城还未真正出手，但竞争对手早已迫不及待地希望抓住这块“真空期”。继天猫、苏宁易购和库巴网纷纷响应后，连身陷囹圄的国美前掌门人黄光裕都发出“指示”，要求此前一直低调的国美“彻底洗牌电商”。２还，由於距离上一轮价格战时间太近，而且价格战对於消费者已经不再新鲜，坐等更低价的心态，让此轮价格战的效果存疑。Ａ健靶氯恕辈握烬７⑼辍凹唇掀起更猛价格战”的微博，京东商城ＣＥＯ刘强东就去海边度假了。但他那句“具体措施本月底推出”让竞争对手兴奋不已。因为１０天足以改变很多事，比如抢占“更猛版”价格战的先机。Ｒ恢痹诘缟塘煊蚪衔沉默的国美电器网上商城，在昨日突然宣布推出“７·１８－７·２８见证底价坐标”活动，加入混战。国美电器网上商城总经理韩德鹏更放出豪言称，“此前的所谓价格战，都不是真正的价格战”。３电商平台外，依附於电商行业的比价、返利和支付企业也开始响应。昨日，一淘网宣布将拿出２．５亿元补贴消费者的观战、比价行为。据介绍，补贴中的１．５亿元为用户通过一淘比价购物后的返利补贴。另外１亿元则是用户在电商价格战期间可以免费领取的支付宝红包优惠。！拔Ы恕背沙ＬＫ淙坏缟掏行们并未把矛头直指京东商城，但在刘强东宣布将把价格战升级后的第三天，天猫就宣布投入１０亿元进行促销，韩德鹏在接受媒体采访时也没有否认是针对京东商城。＞菀晃唤咏京东商城的人士透露，由於“６·１８”促销效益明显，且投资商对京东商城销售业绩要求较高，因此京东商城仍将延续“价格战”策略。Ｕ庖馕吨，一旦有龙头企业率先发难，一轮新的价格战就将一触即发。而且，　无论是国美、苏宁还是淘宝，其资金链都相对充裕势必跟上。但一位业内人士表示，价格战已经打了一轮，一部分中小规模企业可能已经在勉强支撑了。下半年价格战持续，一些规模较小的企业有可能会被拖垮。ＰЧ恐打折＜业绻鄄旒伊醪匠救衔，围绕家电百货的电商价格战将一直持续至行业格局稳定后才会结束。；褂猩桃底家表示，价格战将接二连三上演已经成为事实。对於消费者而言，即便错过了也不会遗憾。这可能让此轮价格战的效果大打折扣。＞湍壳暗那榭隹矗即使没有企业公开挑起价格战，这些企业之间的价格竞争也丝毫没有减弱。而且，更重要的是，上月刚刚结束的价格战已经透支了不少消费，下半年，电商企业是否还能依靠低价策略，实现既定目标成为未知。３了电商领域外，目前，整体零售业也不够景气。据市商务委的统计数据显示，上半年，三成百货企业销售额出现负增长。Ｔ谝到缈蠢矗上轮价格战透支的消费，加上消费者钱包越捂越紧，让这轮“加强版”价格战遇冷的可能性不小。
科技	腾讯称不会涉足手机和金融业	本报讯（记者李斌）昨天，就腾讯将推ＱＰｈｏｎｅ智能手机和涉足金融证券软件业务的传言，腾讯方面辟谣称，腾讯不会直接做手机，暂时也没有进军金融证券软件行业的计划。Ｇ疤欤微博上开始流传两则关於腾讯的传言。一是腾讯将於下月正式进军证券金融资讯行业，将给用户免费使用成本９８０元的Ｌｅｖｅｌ－２软件，同时提供十档买卖报价信息。如果腾讯推出此类免费软件，无疑会对同花顺等股票软件提供商带来毁灭性打击。对此，腾讯官方发布声明称，此消息严重失实，腾讯暂无此类计划。Ａ硗庖辉虼言称，腾讯将推出售价在２０００元之下的智能手机。昨天，腾讯董事长马化腾在其微博上直接表态，重申腾讯不会做手机。
科技	电商混战供应商受累：尚未进入寡头时代	京东历年都会在自己的店庆日６月１８　日做一场年度大促销，今年他们取了一项代号“京东诺曼底”。：芏嗲康星袄辞捞玻苏宁易购、天猫、当当国美、库巴等皆在列。？獍褪亲钤缰苯庸开开战，首页便拉出了“狙击６１８”。刘强东老冤家李国庆治下的当当也公开提出“征东”。Ｌ烀ń期就进行了多重备战，其中包括对商家的２亿元补贴，为６月１８日一天准备的对消费者的５０００万元现金红包，以及针对天猫电器馆单独的１亿元消费者返利补贴。Ｋ漳易购则是早早提出了每月１８日均举行大促销，正面与京东开战。而这次他们更是推出多场“０元购”活动，这项活动直接将昨天苏宁易购流量拉升了２倍以上，甚至第一场抢购活动开始之际，网站一度宕机。＞┒也下足了工夫。早早宣布准备让利１０亿元，刘强东昨晚在微博上宣称放出６．１８亿元的优惠券。Ｕ獬≌秸让一些零售业人士嗅到了过去２０多年间线下家电连锁渠道曾经的征伐气味。“从让利口号，到各方混战态势，定制包销策略，向供应商争取、索要资源，都跟十多年来家电连锁业手法相近。”一位前家电连锁业人士说。Ｗ畲蟮牟煌在於，电商业尚未进入寡头时代，给供应商的压力还不算很严酷。Ｓ械缟桃的谌耸克担京东促销６．１８亿元的优惠券资源主要来自供应商的资源。京东相关人士否认了这一说法，表示如果促销发生亏损的部分则基本由京东自行承担，而仍有利润空间的则是与供应商均有承担，“总体多数是京东，但具体不同品类可能各不相同。”Ｋ漳易购表态相似。该公司内部人士说，他们承担了大部分亏损，但供应商也肯定会与他们协作，双方共同承担一部分资源。Ｕ庥牍┯ι痰囊榧勰芰σ灿泄亍Ｇ看蟮墓┯ι滔匀徊⒉坏Ｐ模某白电巨头全国销售总裁透露，苏宁每年与其签订百亿订单，但苏宁易购自身的促销他们并不会去过问，如果有亏损也不会去承担。Ｐ⌒凸┯ι袒蛐砘岣械窖沽ΑＲ晃还┯ι倘耸克担他们要承担不少大型促销资源，但此前与京东签订的合同中又规定了要保证毛利。晚间，京东人士透露称，１０万张图书优惠券昨日零点发送后到早间９点即已被抢购完毕，当天家电销量已超去年５倍。２还，人们发现京东今年大促价格优势较往年已有了可见的衰退。有人对比发现，京东不少促销商品出现了突然提价再行促销的现象，而其最终价格一些仍弱於其他竞争对手。＝咏京东的电商分析人士李成东昨天中午披露说，京东当日交易额可能会出乎意料，估计要上调至１５０万～１７０万单，５亿元以上。
科技	我国网民数达到５．３８亿　普及率增速继续放缓	人民网北京７月１９日电（记者　崔雷）今天下午，中国互联网络信息中心（ＣＮＮＩＣ）公布了《第３０次中国互联网络发展状况统计报告》。报告显示，我国网民数量目前已达到５．３８亿，普及率增速继续放缓。１ǜ嫱嘎叮截至２０１２年６月底，中国网民数量达到５．３８亿，互联网普及率为３９．９％﹔２０１２年上半年网民增量为２４５０万，普及率提升１．６个百分点，增长速度延续了自２０１１年以来放缓的趋势。１ǜ嬷赋觯当前网民增长进入了一个相对平稳的阶段，互联网在易转化人群和发达地区居民中的普及率已经达到较高水平，下一阶段中国互联网的普及将转向受教育程度较低的人群以及发展相对落后地区的居民，因而需要关注互联网在这些人群中扩散的障碍。Ｔ诒冉侠年来非网民不上网的原因的调查中，因ＩＴ技能的缺失导致“不懂电脑和网络”和“自认为年龄太大或者太小而不使用互联网”，呈现出逐年递增的表现。其中，“不懂电脑和网络”今年占此项调查比例的５４．８％。＃玻埃保材辏吃拢国家发改委等七部门研究制定了《关於下一代互联网“十二五”发展建设的意见》，提出“十二五”期间，我国互联网普及率达到４５％以上。报告认为，下一阶段互联网的普及工作更需要政府和业界的介入和刺激，在持续提高信息化基础设施建设水平的同时，提高居民的电脑和上网操作技能。
科技	比尔·盖茨一生总结：从恶魔到天使（组图）　（５）	第五：盖茨从创办公司之处便高瞻远瞩Ｉ鲜兰停福澳甏，盖茨的母亲、Ｕｎｉｔｅｄ　Ｗａｙ公司董事会董事玛丽　麦克斯韦－盖茨（Ｍａｒｙ　Ｍａｘｗｅｌｌ　Ｇａｔｅｓ），把自己的儿子介绍给了一些权贵人物。在当时的Ｕｎｉｔｅｄ　Ｗａｙ公司董事当中，包括了随后出任ＩＢＭ首席执行官的约翰　欧佩尔（Ｊｏｈｎ　Ｏｐｅｌ）。＃桑拢偷笔币丫开发出了个人电脑，希望为其ＤＯＳ操作系统开发一个版本的ＢＡＳＩＣ。盖茨说服ＩＢＭ，微软确实拥有一款操作系统，但已经过时，而且微软已经把这款操作系统的专利权给了另外一家公司。Ｎ⑷淼笔蔽ＩＢＭ的个人电脑开发了一款授权操作系统，但拒绝向ＩＢＭ出售该产品的代码。盖茨当时就认为，其它的制造商可能会克隆ＩＢＭ的个人电脑，而且他们也需要得到微软的操作系统。Ｊ堑模盖茨的想法是正确的。ＩＢＭ就此曾指责过盖茨，并把微软告上法庭。最终，两家公司达成了和解协议。
